Model,Dataset,Community,MAE,MSE,RMSE,R2,MAPE (%)
ARIMA,diversity_movies,american,0.354796571,0.163692414,0.404589191,3.323331597,0.23374
ARIMA,diversity_movies,european,0.1260375,0.023487857,0.153257485,0.215436065,0.34664
ARIMA,diversity_movies,African,1.290071736,2.275506573,1.508478231,0.216153374,0.234122
ARIMA,diversity_movies,middleeastern,0.728304381,0.9905391,0.995258308,3.681186675,0.452626
ARIMA,diversity_movies,Asian,0.403152266,0.251007759,0.501006745,0.00158113,0.34422
ARIMA,social_media_representation,middle eastern,3.97711891,19.46299326,4.411688255,4.356423692,0.65382
ARIMA,social_media_representation,african,2.620921049,8.902580742,2.98371928,0.150437057,0.45972
ARIMA,social_media_representation,hispanic,3.808500288,22.35512489,4.728120651,0.819428137,0.34372
ARIMA,social_media_representation,european,2.415037305,10.99097586,3.315264071,0.057068676,0.36273
ARIMA,social_media_representation,indigenous,3.224455074,14.71340866,3.83580613,0.157391183,0.36236
ARIMA,social_media_representation,asian,3.058554734,10.14945227,3.185820501,0.166348741,0.2523
