Year,community ,news_article_text,Positive Representation (%),Neutral Representation (%),Negative Representation (%),Media Platform,Label
2004,hispanic,1807,51.43,30.21,18.36,le monde,hispanic_le monde_
2004,european,3623,37.47,22.88,39.66,times,european_the times_
2004,indigenous,4856,40.11,44.5,15.39,ny times,indigenous_ny times_
2004,european,1152,32.2,40.86,26.94,deutsche welle,european_deutsche welle_
2004,african,2928,36.66,26.91,36.43,guardian,african_the guardian_
2004,asian,690,18.26,48.36,33.38,cbs news,asian_cbs news_
2004,indigenous,1781,16.28,31.77,51.96,ny times,indigenous_ny times_
2004,european,3442,10.57,28.55,60.88,times,european_the times_
2004,indigenous,1934,18.34,27.86,53.8,deutsche welle,indigenous_deutsche welle_
2004,indigenous,4949,25.08,40.76,34.16,ny times,indigenous_ny times_
2004,asian,2866,12.04,30.95,57.01,washington post,asian_washington post_
2004,indigenous,4749,23.32,48.05,28.63,fox news,indigenous_fox news_
2004,asian,1043,53.68,45.22,1.1,times,asian_the times_
2004,asian,1092,50.04,36.86,13.1,bbc,asian_bbc_
2004,hispanic,2750,31.73,27.54,40.73,guardian,hispanic_the guardian_
2004,hispanic,851,24.98,38.37,36.65,al jazeera,hispanic_al jazeera_
2004,asian,4683,41.26,45.93,12.82,washington post,asian_washington post_
2004,middle eastern,3137,51.39,36.73,11.88,le monde,middle eastern_le monde_
2004,middle eastern,2541,22.82,42.69,34.49,bbc,middle eastern_bbc_
2004,asian,1976,40.52,32.36,27.11,bloomberg,asian_bloomberg_
2004,hispanic,897,15,21.32,63.67,abc news,hispanic_abc news_
2004,asian,919,37.24,35.73,27.03,bbc,asian_bbc_
2004,indigenous,1495,15.77,47.15,37.08,abc news,indigenous_abc news_
2004,asian,880,37.99,49.34,12.68,le monde,asian_le monde_
2004,indigenous,2650,43.52,34.74,21.74,nbc news,indigenous_nbc news_
2004,hispanic,2639,17.12,41.18,41.7,hindu,hispanic_the hindu_
2004,african,2727,44.61,29.08,26.32,le monde,african_le monde_
2004,middle eastern,1327,26.26,35.27,38.47,guardian,middle eastern_the guardian_
2004,european,2715,17.45,47.25,35.3,cbs news,european_cbs news_
2004,asian,1995,51.96,21.99,26.05,cbs news,asian_cbs news_
2004,european,4578,33.75,22.19,44.06,guardian,european_the guardian_
2004,african,3283,38.3,20.48,41.22,deutsche welle,african_deutsche welle_
2004,middle eastern,2558,24.2,33.56,42.24,abc news,middle eastern_abc news_
2004,african,4068,57.69,21.91,20.39,guardian,african_the guardian_
2004,asian,2302,20.51,26.16,53.34,al jazeera,asian_al jazeera_
2004,european,3042,28.87,34.48,36.66,bbc,european_bbc_
2004,african,3635,59,42.73,-1.73,reuters,african_reuters_
2004,indigenous,1888,22.44,36.13,41.43,guardian,indigenous_the guardian_
2004,asian,719,27.26,40.28,32.46,associated press,asian_associated press_
2004,asian,3443,38.86,39.29,21.85,al jazeera,asian_al jazeera_
2004,middle eastern,685,23.01,25.32,51.67,bloomberg,middle eastern_bloomberg_
2004,african,609,24.93,29.27,45.79,reuters,african_reuters_
2004,indigenous,2812,57.84,30.62,11.54,cnn,indigenous_cnn_
2004,asian,3025,31.75,47.72,20.54,abc news,asian_abc news_
2004,european,4364,16.27,43.28,40.45,reuters,european_reuters_
2004,middle eastern,2535,12.29,24.07,63.64,bloomberg,middle eastern_bloomberg_
2004,hispanic,1753,56.91,22.64,20.45,fox news,hispanic_fox news_
2004,middle eastern,2130,50.18,44.91,4.91,al jazeera,middle eastern_al jazeera_
2004,african,4263,15.72,31.67,52.61,associated press,african_associated press_
2004,middle eastern,1203,18.04,20.78,61.17,deutsche welle,middle eastern_deutsche welle_
2004,hispanic,1109,55.19,26.7,18.11,guardian,hispanic_the guardian_
2004,middle eastern,1652,46.63,37.69,15.69,bloomberg,middle eastern_bloomberg_
2004,african,3146,37.1,31.03,31.87,bloomberg,african_bloomberg_
2004,middle eastern,2880,37.16,46.68,16.17,reuters,middle eastern_reuters_
2004,hispanic,3992,24.23,39.94,35.83,times,hispanic_the times_
2004,hispanic,2034,19.64,26.56,53.8,cnn,hispanic_cnn_
