Model,Dataset,Community,MAE,MSE,RMSE,R2,MAPE (%)
LSTM,diversity_movies,american,0.223331609,0.082836204,0.287812794,1.187812934,0.3122251
LSTM,diversity_movies,european,0.147611027,0.036529579,0.191127129,0.890311603,0.201304356
LSTM,diversity_movies,African,1.439768705,2.403913065,1.550455761,0.284780725,0.229164994
LSTM,diversity_movies,middleeastern,0.707269974,0.500230816,0.707269974,0.345,0.814827159
LSTM,diversity_movies,Asian,0.428997793,0.261325006,0.511199576,0.042749421,0.588461016
LSTM,social_media_representation,middle eastern,3.686806978,18.5253461,4.30410805,3.30104105,0.956544852
LSTM,social_media_representation,african,3.288499832,11.39571315,3.375753717,0.242177581,0.90348514
LSTM,social_media_representation,hispanic,4.481556355,26.42566833,5.140590271,2.004500038,0.111151672
LSTM,social_media_representation,european,2.757264327,13.9935534,3.740795824,0.218034386,0.320182114
LSTM,social_media_representation,indigenous,3.705651425,16.01807605,4.002258868,4.356829788,0.088412652
LSTM,social_media_representation,asian,2.523482754,8.57915902,2.929020147,0.088580407,0.674156969
