Model,Dataset,Community,MAE,MSE,RMSE,R2,MAPE (%)
Prophet,diversity_movies,american,0.207971059,0.078947048,0.280975173,0.039032518,0.276234478
Prophet,diversity_movies,european,0.212978277,0.083558675,0.289065173,0.0150663,0.284705141
Prophet,diversity_movies,African,0.952180087,1.353162049,1.163254937,8.03E-06,0.133438527
Prophet,diversity_movies,middleeastern,0.394938381,0.193737625,0.440156365,0.381205683,0.450143049
Prophet,diversity_movies,Asian,0.279498472,0.145284296,0.381161772,0.019100484,0.379971713
Prophet,social_media_representation,middle eastern,2.502722536,9.29468742,3.04871898,0.238669228,0.734790168
Prophet,social_media_representation,african,2.208157841,7.815118814,2.7955534,0.001968493,0.632081479
Prophet,social_media_representation,hispanic,2.463031239,9.837755942,3.136519718,0.134413674,0.721788122
Prophet,social_media_representation,european,2.42229332,12.51354053,3.537448308,0.007579699,0.715201412
Prophet,social_media_representation,indigenous,2.495059429,9.72353835,3.118258865,0.006172895,0.751046245
Prophet,social_media_representation,asian,1.870433062,4.51930206,2.125865015,0.02199228,0.537881811
